AliveRabbitNum,SafeRabbitNum,AvgRabbitHp,AliveFoxNum,AvgFoxHp
52,6,33.1,20,97.15
54,9,35.1,18,90
60,5,39.6,19,90.2
53,9,31.2,17,81.55
58,16,29.8,20,99.85
48,9,28.9,20,99.85
50,13,28.7,20,98.05
47,8,32.5,20,99.25
43,8,28.2,20,97
65,7,44.9,18,89.55
51,11,26.1,19,95
56,5,35.9,19,95
50,2,33.9,20,99.7
52,9,29.2,20,100
53,8,36.1,16,78.2
53,9,32.7,20,99.85
49,11,30,20,99.7
60,5,34.1,19,93.2
60,8,38.4,19,94.25
44,9,24.9,20,99.7
51,9,33.7,20,93.1
51,13,30.2,20,100
55,5,38.3,20,99.7
54,13,31.1,19,92.3
58,9,31.3,18,89.25
58,4,38.6,17,82
46,9,29,20,92.65
58,7,40.9,18,86.4
48,6,33.4,19,92.3
63,3,47.2,19,92.45
47,3,31.5,19,94.85
48,9,29.4,20,100
46,13,22.9,20,97.15
54,9,37.4,19,94.25
53,7,34.7,19,92
46,9,25.6,20,99.7
50,5,30.8,19,95
59,8,38.1,19,89.6
44,6,25.7,20,99.25
47,4,29.7,20,99.85
51,10,32,19,94.55
63,9,41.2,14,70
57,10,31.8,20,94.9
48,3,31.3,20,100
58,16,34,20,98.2
59,6,38.7,19,94.7
53,14,30.9,19,94.4
59,13,33,20,100
49,7,30.3,20,99.4
51,6,34,19,95
53,11,31.3,20,99.85
52,7,30,20,99.4
52,5,35.3,20,83.8
54,3,35.6,18,90
48,10,29.1,20,100
56,14,31.9,20,99.1
44,3,31.8,20,99.55
53,19,29.3,20,94.6
54,10,32.9,20,98.65
47,2,33.3,19,92.3
46,5,25.2,20,98.95
54,7,37.2,19,92.75
46,2,31.5,20,95.05
49,8,35.3,20,98.2
52,7,33.5,20,99.55
54,11,28.6,20,97.6
53,13,28.9,20,95.5
51,6,29.5,20,99.7
48,5,29.8,20,98.5
50,13,30.4,18,88.95
53,8,31.8,20,100
50,11,30.1,20,99.1
53,11,36.6,20,100
45,11,28.3,20,97.9
53,14,28.1,20,96.55
59,9,34.3,18,90
60,9,38.7,19,95
53,10,30.6,19,93.5
51,12,29,20,99.4
53,7,34.7,18,89.7
55,11,34,19,94.55
54,17,30.3,20,99.55
46,9,25.8,20,99.25
49,12,28.9,19,94.7
47,11,27.4,20,100
61,8,39.4,19,95
56,12,33.6,19,92.9
57,9,37.8,17,84.85
47,11,27.9,20,99.55
49,7,29.5,20,97.3
46,4,29.4,20,100
58,14,38.5,17,84.7
50,10,32.6,18,89.1
60,9,42,19,91.55
53,9,32.1,20,99.25
43,6,25.5,20,99.55
59,15,35.5,19,94.85
55,2,39.7,18,89.7
54,11,30.7,20,98.8
52,7,34.4,19,93.95
